"Name","Pos","Year","GP","G","A","Pts.","Pt/Gm","PEN","PIM","GWG","PPG","SHG","ENG","Season","Team"
"Tiffany Magnuson","F/D","Jr","22","12","11","23","1.0455","3","6","1","2","1","0","2007-2008","augsburg"
"Katie Medd","F","Sr","22","8","7","15","0.6818","14","28","1","4","0","0","2007-2008","augsburg"
"Jackie Keller","D","Sr","21","8","5","13","0.6190","7","14","0","4","0","0","2007-2008","augsburg"
"Whitney Restemayer","D","So","22","2","5","7","0.3182","9","18","0","1","0","0","2007-2008","augsburg"
"Jess Olson","F","So","22","1","6","7","0.3182","13","26","0","0","0","0","2007-2008","augsburg"
"Jenna Knudtson","F","Fr","22","2","4","6","0.2727","4","8","1","0","0","0","2007-2008","augsburg"
"Emily Merhar","D","Jr","19","1","4","5","0.2632","15","30","0","1","0","0","2007-2008","augsburg"
"Andrea Toft","F","So","22","1","2","3","0.1364","9","18","0","0","0","0","2007-2008","augsburg"
"Elise Hedlund","F","Fr","22","0","3","3","0.1364","11","22","0","0","0","0","2007-2008","augsburg"
"Erin Leyden","F","Fr","22","2","0","2","0.0909","2","4","0","0","0","0","2007-2008","augsburg"
"Kaitlan Dickson","F","Fr","22","1","1","2","0.0909","3","6","0","0","0","0","2007-2008","augsburg"
"Katie Johnson","F","Sr","21","1","0","1","0.0476","1","2","0","0","0","0","2007-2008","augsburg"
"Carly Facchini","F","Fr","22","1","0","1","0.0455","3","6","0","0","0","0","2007-2008","augsburg"
"Sara Toft","F","So","14","1","0","1","0.0714","2","4","1","0","0","0","2007-2008","augsburg"
"Whitney Pratt","D","Fr","22","0","0","0","0.0000","0","0","0","0","0","0","2007-2008","augsburg"
"Sara Hammann","G","Fr","2","0","0","0","0.0000","0","0","0","0","0","0","2007-2008","augsburg"
"Hillary Volkman","F","Fr","22","0","0","0","0.0000","9","18","0","0","0","0","2007-2008","augsburg"
"Toni Menth","G","So","22","0","0","0","0.0000","1","2","0","0","0","0","2007-2008","augsburg"
"Jennifer Statz","F","Fr","9","0","0","0","0.0000","0","0","0","0","0","0","2007-2008","augsburg"
"Tara Sampson","D","Fr","6","0","0","0","0.0000","3","6","0","0","0","0","2007-2008","augsburg"
"Courtney Hanlon","F","Fr","28","15","20","35","1.2500","12","24","2","3","1","0","2007-2008","amherst"
"Tarasai Karega","F","Jr","28","15","13","28","1.0000","5","10","3","8","1","1","2007-2008","amherst"
"Kate Dennett","F","So","28","11","14","25","0.8929","10","20","1","2","4","0","2007-2008","amherst"
"Michelle McGann","F","So","28","11","13","24","0.8571","11","22","2","4","0","1","2007-2008","amherst"
"Lindsey Harrington","F","Jr","26","8","13","21","0.8077","7","14","2","4","1","0","2007-2008","amherst"
"Molly Malloy","D","So","23","11","5","16","0.6957","0","0","3","2","0","0","2007-2008","amherst"
"Randi Zukas","D","Fr","27","1","14","15","0.5556","10","20","1","1","0","0","2007-2008","amherst"
"Kirsten Dier","D","So","26","3","11","14","0.5385","12","24","2","0","0","0","2007-2008","amherst"
"Megan Quinn","D","Sr","28","5","8","13","0.4643","7","14","0","1","0","0","2007-2008","amherst"
"Julia Koch","D","Fr","28","3","9","12","0.4286","2","4","0","1","0","0","2007-2008","amherst"
"Anna MacLean","F","Jr","27","4","6","10","0.3704","6","12","1","0","0","0","2007-2008","amherst"
"Braidie Campbell","F","Fr","27","3","7","10","0.3704","6","12","0","0","2","0","2007-2008","amherst"
"Julie Radziewicz","D","Jr","28","3","7","10","0.3571","8","16","0","0","0","0","2007-2008","amherst"
"Megan Curry","F","Fr","26","2","8","10","0.3846","7","14","0","0","0","0","2007-2008","amherst"
"Cianna Wyshnytzky","F","Fr","23","5","4","9","0.3913","4","8","2","2","0","0","2007-2008","amherst"
"Elizabeth Ditmore","F","Sr","28","3","4","7","0.2500","0","0","0","0","0","0","2007-2008","amherst"
"Brittney Evans","F","Fr","13","4","1","5","0.3846","4","8","1","0","0","0","2007-2008","amherst"
